pais;codigo_do_pais;nome_do_pais;descricao;loc_cod;UF;RA;ra_desc;RG;rg_desc;RM;rm_desc
4;9800004;Afeganistão;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
8;9800008;Albânia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
12;9800012;Argélia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
16;9800016;Samoa Americana;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
20;9800020;Andorra;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
24;9800024;Angola;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
28;9800028;Antígua e Barbuda;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
31;9800031;Azerbaijão;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
32;9800032;Argentina;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
36;9800036;Austrália;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
40;9800040;Áustria;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
44;9800044;Bahamas;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
48;9800048;Barein;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
50;9800050;Bangladesh;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
51;9800051;Armênia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
52;9800052;Barbados;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
56;9800056;Bélgica;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
60;9800060;Bermuda;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
64;9800064;Butão;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
68;9800068;Bolívia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
70;9800070;Bósnia-Herzegovina;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
72;9800072;Botsuana;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
84;9800084;Belize;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
90;9800090;Ilhas Salomão;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
92;9800092;Ilhas Virgens Britânicas;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
96;9800096;Brunei;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
100;9800100;Bulgária;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
104;9800104;Mianma;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
108;9800108;Burundi;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
112;9800112;Bielorússia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
116;9800116;Camboja;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
120;9800120;Camarões;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
124;9800124;Canadá;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
132;9800132;Cabo Verde;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
136;9800136;Ilhas Cayman;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
140;9800140;República Centro Africana;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
144;9800144;Sri Lanka;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
148;9800148;Chade;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
152;9800152;Chile;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
156;9800156;China;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
170;9800170;Colômbia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
174;9800174;Comores;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
175;9800175;Mayotte;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
178;9800178;Congo;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
180;9800180;República Democrática do Congo;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
184;9800184;Ilhas Cook;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
188;9800188;Costa Rica;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
191;9800191;Croácia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
192;9800192;Cuba;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
196;9800196;Chipre;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
203;9800203;República Tcheca;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
204;9800204;Benin;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
208;9800208;Dinamarca;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
212;9800212;Dominica;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
214;9800214;República Dominicana;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
218;9800218;Equador;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
222;9800222;El Salvador;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
226;9800226;Guiné Equatorial;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
231;9800231;Etiópia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
232;9800232;Eritréia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
233;9800233;Estônia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
234;9800234;Ilhas Faeroe;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
238;9800238;Ilhas Falkland;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
242;9800242;Fiji;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
246;9800246;Finlândia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
248;9800248;Ilhas Alanda;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
250;9800250;França;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
254;9800254;Guiana Francesa;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
258;9800258;Polinésia Francesa;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
262;9800262;Djibouti;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
266;9800266;Gabão;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
268;9800268;Geórgia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
270;9800270;Gâmbia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
275;9800275;Palestina;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
276;9800276;Alemanha;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
288;9800288;Gana;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
292;9800292;Gibraltar;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
296;9800296;Kiribati;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
300;9800300;Grécia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
304;9800304;Groenlândia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
308;9800308;Granada;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
312;9800312;Ilha Guadalupe;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
316;9800316;Guam;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
320;9800320;Guatemala;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
324;9800324;Guiné;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
328;9800328;Guiana;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
332;9800332;Haiti;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
336;9800336;Vaticano;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
340;9800340;Honduras;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
344;9800344;China, Hong Kong;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
348;9800348;Hungria;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
352;9800352;Islândia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
356;9800356;Índia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
360;9800360;Indonésia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
364;9800364;Irã;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
368;9800368;Iraque;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
372;9800372;Irlanda;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
376;9800376;Israel;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
380;9800380;Itália;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
384;9800384;Costa do Marfim;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
388;9800388;Jamaica;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
392;9800392;Japão;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
398;9800398;Cazaquistão;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
400;9800400;Jordânia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
404;9800404;Quênia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
408;9800408;Coréia do Norte;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
410;9800410;Coréia do Sul;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
414;9800414;Kuwait;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
417;9800417;Quirguistão;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
418;9800418;Laos;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
422;9800422;Líbano;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
426;9800426;Lesoto;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
428;9800428;Letônia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
430;9800430;Libéria;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
434;9800434;Líbia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
438;9800438;Liechtenstein;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
440;9800440;Lituânia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
442;9800442;Luxemburgo;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
446;9800446;China, Macao;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
450;9800450;Madagáscar;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
454;9800454;Malauí;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
